uuid,badge_id
xTPOLETd,first_donation
xTPOLETd,hundred_club
xTPOLETd,team_player
DtbM3EU5,first_donation
DtbM3EU5,team_player
l09aH9Jo,first_donation
l09aH9Jo,hundred_club
l09aH9Jo,five_hundred_club
l09aH9Jo,team_player
1oLk8caF,first_donation
1oLk8caF,hundred_club
1oLk8caF,team_player
1oLk8caF,team_leader
wUsJYuDa,first_donation
wUsJYuDa,all_paths
wUsJYuDa,hundred_club
wUsJYuDa,team_player
awThthig,first_donation
awThthig,hundred_club
awThthig,team_player
0SzOqoUB,first_donation
0SzOqoUB,hundred_club
0SzOqoUB,team_player
ZwrShuW9,first_donation
ZwrShuW9,hundred_club
ZwrShuW9,five_hundred_club
ZwrShuW9,team_player
KHH99Xvg,first_donation
KHH99Xvg,team_player
Xz1KWmtW,first_donation
Xz1KWmtW,all_paths
Xz1KWmtW,hundred_club
Xz1KWmtW,five_hundred_club
Xz1KWmtW,team_player
E1VwajUh,first_donation
E1VwajUh,all_paths
E1VwajUh,hundred_club
E1VwajUh,team_player
W6URS8kh,first_donation
W6URS8kh,hundred_club
W6URS8kh,team_player
kDq3WtEe,first_donation
kDq3WtEe,hundred_club
kDq3WtEe,team_player
FlK3GqfD,first_donation
FlK3GqfD,hundred_club
FlK3GqfD,team_player
3kHL0w0N,first_donation
3kHL0w0N,hundred_club
3kHL0w0N,team_player
4x23FN3A,first_donation
4x23FN3A,hundred_club
4x23FN3A,team_player
8qbzo72j,first_donation
8qbzo72j,hundred_club
8qbzo72j,team_player
tbgqxG1P,first_donation
tbgqxG1P,hundred_club
tbgqxG1P,team_player
jTcGKb9g,first_donation
jTcGKb9g,hundred_club
jTcGKb9g,team_player
BtQ1xfZe,first_donation
BtQ1xfZe,hundred_club
BtQ1xfZe,team_player
7EHPVqMt,first_donation
7EHPVqMt,hundred_club
7EHPVqMt,team_player
b4CVJaZN,first_donation
b4CVJaZN,all_paths
b4CVJaZN,hundred_club
b4CVJaZN,team_player
x2vy4Dxo,first_donation
x2vy4Dxo,hundred_club
x2vy4Dxo,team_player
x2vy4Dxo,team_leader
Prx5WKH7,first_donation
Prx5WKH7,hundred_club
Prx5WKH7,team_player
DwrwJRzQ,first_donation
DwrwJRzQ,hundred_club
DwrwJRzQ,team_player
AVGtw1An,first_donation
AVGtw1An,team_player
SFxMp18D,first_donation
SFxMp18D,hundred_club
SFxMp18D,team_player
glztSaxn,first_donation
glztSaxn,hundred_club
glztSaxn,five_hundred_club
glztSaxn,team_player
RbOmwa2H,first_donation
RbOmwa2H,hundred_club
RbOmwa2H,team_player
oVbe1liY,first_donation
oVbe1liY,all_paths
oVbe1liY,hundred_club
oVbe1liY,five_hundred_club
oVbe1liY,team_player
UiLQD893,first_donation
UiLQD893,team_player
eRWZiqpS,first_donation
eRWZiqpS,hundred_club
eRWZiqpS,team_player
rMGAuIqn,first_donation
rMGAuIqn,all_paths
rMGAuIqn,hundred_club
rMGAuIqn,team_player
rMGAuIqn,team_leader
nUJ3TtUh,first_donation
nUJ3TtUh,hundred_club
nUJ3TtUh,five_hundred_club
nUJ3TtUh,team_player
zhUCxrB7,first_donation
zhUCxrB7,hundred_club
zhUCxrB7,team_player
exwTJrRo,first_donation
exwTJrRo,hundred_club
exwTJrRo,team_player
dFGMggXM,first_donation
dFGMggXM,hundred_club
dFGMggXM,team_player
MxQ819ja,first_donation
MxQ819ja,hundred_club
MxQ819ja,team_player
aYB8YDJt,first_donation
aYB8YDJt,all_paths
aYB8YDJt,hundred_club
aYB8YDJt,five_hundred_club
aYB8YDJt,team_player
LsHxp81K,first_donation
LsHxp81K,hundred_club
LsHxp81K,team_player
OezSAEbr,first_donation
OezSAEbr,hundred_club
OezSAEbr,team_player
OezSAEbr,team_leader
k9ezWAQV,first_donation
k9ezWAQV,hundred_club
k9ezWAQV,team_player
bkdnUIR8,first_donation
bkdnUIR8,hundred_club
bkdnUIR8,team_player
meEhBFZr,first_donation
meEhBFZr,hundred_club
meEhBFZr,five_hundred_club
meEhBFZr,team_player
NrPbPQGz,first_donation
NrPbPQGz,hundred_club
NrPbPQGz,team_player
vDFfySVP,first_donation
vDFfySVP,hundred_club
vDFfySVP,team_player
p0kDqx9F,first_donation
p0kDqx9F,hundred_club
p0kDqx9F,five_hundred_club
p0kDqx9F,team_player
5KncP4cz,first_donation
5KncP4cz,hundred_club
5KncP4cz,team_player
jLxb6ex0,first_donation
jLxb6ex0,hundred_club
jLxb6ex0,team_player
AXK3mhzd,first_donation
AXK3mhzd,all_paths
AXK3mhzd,hundred_club
AXK3mhzd,five_hundred_club
AXK3mhzd,team_player
Gy1fpgpm,first_donation
Gy1fpgpm,hundred_club
Gy1fpgpm,team_player
jJ5rWqev,first_donation
jJ5rWqev,hundred_club
jJ5rWqev,team_player
GawAURbs,first_donation
GawAURbs,hundred_club
GawAURbs,team_player
